Reservoir_1,Reservoir_2,Reservoir_3,Reservoir_4
62844.2403630713,143846.08501188582,70396.38203534175,46141.450735760176
63423.903193319515,107600.5017516933,51122.704212283155,68022.58544433302
74426.71817646483,28037.024077535363,78043.07723527176,67705.03524642056
58461.177766791676,130470.1308566946,50197.61056443691,50912.478290222425
43701.29048394927,113714.00855660425,51535.49999733276,50186.6206424156
35823.011374888585,31090.71251773718,88481.82790120051,38129.06848126699
37598.03829004585,60072.46132209603,30030.658192178904,42002.210951893
54344.42528310235,53774.06203961273,64177.58572872448,56709.921448406545
43477.19754350364,37707.05380817507,34010.33847827784,46857.03491749746
63337.4954333671,55200.75704129825,44581.53105200701,65072.15661978559
