stage,objective
1,2.7002356920000007e6
2,2.368520668384613e6
3,2.272885114577879e6
4,2.2322521660643946e6
5,2.2183140986453644e6
6,2.2898941526318346e6
7,2.380554003908384e6
8,2.402611003416019e6
9,2.4616185009918027e6
10,2.7211221795918103e6
11,2.769023450560901e6
12,2.224158624868064e6
13,2.064637554593989e6
14,2.1600699662379962e6
15,2.297986009080923e6
16,2.415659172016764e6
17,2.322456501535295e6
18,2.3253776666352884e6
19,2.524167948917139e6
20,2.545806633383557e6
21,2.895028600052723e6
22,2.7799690428149705e6
23,2.73238612682802e6
24,1.3437687677742373e6
