plant,unit,value
1,1,641.93
1,2,1321.38
1,3,4.032
1,4,160.7524000000008
1,5,127.60498067134482
1,6,17.696
1,7,490.912
1,8,8.448
1,9,253.73207999999997
1,10,223.7968000000005
1,11,222.6968427487517
1,12,159.032
1,13,24.692190520678245
1,14,120.67238871188728
1,15,20.174
1,16,51.33
1,17,123.67906305161615
1,18,317.9004034935605
1,19,363.9043890464071
1,20,399.99843999999985
1,21,80.41341214247281
1,22,144.8
1,23,110.67989613595205
1,24,118.83040935012194
1,25,16.432485010190494
1,26,42.0
1,27,85.77494322082366
1,28,5.7
1,29,22.512
1,30,143.44
1,31,53.6
1,32,185.11896410030883
1,33,164.5174465575336
1,34,84.24642271497858
1,35,10.368
1,36,69.24978263302444
1,37,735.9487263810423
1,38,528.4558819903546
1,39,1.02
1,40,194.69528
1,41,51.88166061380301
1,42,108.94441779527277
1,43,7.236
2,1,10.824
2,2,221.2434242781593
2,3,223.18489552719097
2,4,323.2299271446727
2,5,30.085524824663125
2,6,53.37
2,7,2.176
2,8,14.397328211287157
2,9,64.9
2,10,112.24495999999972
2,11,219.0445833375426
2,12,319.2664800000002
2,13,2.736
2,14,101.3417799375113
2,15,251.2
2,16,11.21
2,17,404.8111844551836
3,1,2.782
3,2,2.354
3,3,7.104
3,4,2.354
3,5,35.33000000000036
3,6,29.110400000000233
3,7,26.7
3,8,2.782
3,9,3.21
3,10,124.32373194715785
3,11,43.56
3,12,2.782
3,13,3.21
3,14,77.832
3,15,320.216
3,16,47.68
3,17,47.68
3,18,3.21
3,19,21.616000000000028
3,20,3.21
3,21,58.07248030312668
3,22,2.782
3,23,2.782
3,24,14.214
3,25,19.589282977197968
3,26,7.632
3,27,9.504
3,28,100.44
3,29,16.219509150774353
3,30,21.56123600780512
3,31,55.02144454251142
3,32,495.3666006796463
3,33,119.52389066696357
4,1,53.44034865494256
4,2,53.452
