stage,objective
1,2.7002356920000017e6
2,1.863021995017603e6
3,2.284862682732925e6
4,1.5281917783680782e6
5,1.8630438270362616e6
6,2.116434014147129e6
7,1.8630363047566041e6
8,1.8630261949675344e6
9,1.043214997896824e6
10,1.0432304154826831e6
11,532865.2112965528
12,310000.73810271174
13,309995.82896408346
14,336157.1741470983
15,532875.0909712352
16,734263.558098943
17,802951.6138483454
18,1.5281735678611007e6
19,1.0051601640192419e6
20,803666.6381628541
21,803667.6625316003
22,803665.5673756301
23,716933.8554505245
24,2.6698093502649516e6
