plant,unit,value
1,1,520.0
1,2,1080.0
1,3,0.0
1,4,59.3
1,5,27.1
1,6,0.0
1,7,529.0
1,8,0.0
1,9,255.0
1,10,199.99
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,399.99
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,71.7
1,38,28.8
1,39,0.0
1,40,197.0
1,41,0.0
1,42,0.0
1,43,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,210.0
2,5,0.0
2,6,27.0
2,7,0.0
2,8,9.56
2,9,25.0
2,10,79.46
2,11,147.54
2,12,228.02
2,13,0.0
2,14,49.66
2,15,105.0
2,16,5.0
2,17,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.7
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,220.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,138.0
3,15,347.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,186.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,533.0
3,33,0.0
4,1,0.0
4,2,0.0
