stage,objective
1,340078.4790400006
2,413640.96699839993
3,416690.73931682785
4,424245.8617239164
5,425248.6172029613
6,434415.72257074126
7,432774.2409256449
8,431671.79545082035
9,432601.2981613359
10,447115.606139439
11,470066.55144417926
12,549899.3929467581
13,484259.21161675773
14,537690.0906410369
15,579822.4530405852
16,600555.0151502144
17,596615.9106243593
18,640162.3801059294
19,663890.0420157417
20,685043.4271904848
21,718126.6245296054
22,813224.9910291225
23,699200.3979513758
24,446246.2961877882
