plant,unit,value
1,1,558.36
1,2,1159.6524
1,3,0.0
1,4,93.62599999999996
1,5,27.09999999999995
1,6,6.16
1,7,167.08919028954645
1,8,0.0
1,9,231.70738663276055
1,10,207.69220000000016
1,11,73.34
1,12,0.0
1,13,0.0
1,14,42.94
1,15,0.0
1,16,16.53
1,17,38.76
1,18,0.0
1,19,0.0
1,20,399.99280000000005
1,21,28.0
1,22,56.0
1,23,37.18
1,24,0.0
1,25,5.32
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,57.772200000000105
1,33,56.76
1,34,0.0
1,35,0.0
1,36,0.0
1,37,288.6860000000004
1,38,164.69366368750386
1,39,0.0
1,40,154.69808000699607
1,41,0.0
1,42,37.08
1,43,0.0
2,1,0.0
2,2,10.165000000000072
2,3,11.58300000000012
2,4,249.2
2,5,0.0
2,6,35.55
2,7,0.76
2,8,10.812799999999976
2,9,38.90064579385719
2,10,89.44259999999994
2,11,169.47054311084037
2,12,257.7156000000003
2,13,0.0
2,14,66.45479999999993
2,15,152.3
2,16,5.0
2,17,138.4596106929401
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.7000000000000013
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,41.8
3,11,0.0
3,12,0.0
3,13,0.0
3,14,26.22
3,15,257.72
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,33.48
3,29,0.0
3,30,0.0
3,31,0.0
3,32,400.3760000000002
3,33,0.0
4,1,0.0
4,2,0.0
