stage,objective
1,340078.4790400006
2,336225.1780399997
3,291917.3963399995
4,310060.79924000055
5,310044.1679400001
6,310063.46384000033
7,310027.47334
8,310075.2293400001
9,299827.2356037097
10,291882.71423999965
11,281695.69773999974
12,310211.4482399998
13,336196.8111399999
14,717039.5816599997
15,573116.0920599997
16,730156.5184599999
17,802996.3445600001
18,927332.0313600004
19,1.0052339425600003e6
20,1.0053617462600004e6
21,1.5281869523e6
22,803191.4532600001
23,327459.42173458776
24,245166.92073997634
